endTime;valence;danceability
04/06/2022 23:46;0.943;0.54
04/06/2022 23:47;0.571;0.485
05/06/2022 1:52;0.943;0.54
05/06/2022 1:52;0.888;0.636
05/06/2022 1:52;0.571;0.485
05/06/2022 1:53;0.943;0.54
05/06/2022 1:53;0.866;0.394
05/06/2022 1:53;0.571;0.485
05/06/2022 1:57;0.888;0.636
05/06/2022 1:57;0.866;0.394
05/06/2022 1:59;0.943;0.54
05/06/2022 1:59;0.571;0.485
05/06/2022 2:06;0.303;0.526
05/06/2022 2:07;0.509;0.542
05/06/2022 2:09;0.443;0.527
05/06/2022 2:11;0.656;0.504
05/06/2022 2:14;0.967;0.746
05/06/2022 2:14;0.613;0.686
05/06/2022 2:15;0.789;0.514
05/06/2022 2:18;0.572;0.61
05/06/2022 2:18;0.376;0.61
05/06/2022 2:18;0.457;0.421
05/06/2022 2:18;0.82;0.608
05/06/2022 2:20;0.457;0.421
05/06/2022 2:22;0.572;0.61
05/06/2022 2:22;0.881;0.631
05/06/2022 2:22;0.151;0.579
05/06/2022 2:25;0.782;0.778
05/06/2022 3:45;0.782;0.778
05/06/2022 3:51;0.314;0.534
05/06/2022 3:53;0.959;0.691
05/06/2022 3:53;0.34;0.403
05/06/2022 3:54;0.577;0.523
05/06/2022 3:54;0.242;0.399
05/06/2022 3:54;0.737;0.569
05/06/2022 3:54;0.242;0.533
05/06/2022 3:54;0.642;0.779
05/06/2022 3:54;0.668;0.593
05/06/2022 3:54;0.909;0.723
05/06/2022 3:54;0.543;0.305
05/06/2022 3:54;0.868;0.645
05/06/2022 3:54;0.674;0.542
05/06/2022 3:54;0.408;0.633
05/06/2022 3:54;0.666;0.699
05/06/2022 3:54;0.423;0.368
05/06/2022 3:54;0.462;0.582
05/06/2022 3:54;0.247;0.602
05/06/2022 3:54;0.822;0.664
05/06/2022 3:54;0.299;0.64
05/06/2022 3:59;0.589;0.562
05/06/2022 3:59;0.961;0.612
05/06/2022 3:59;0.183;0.597
05/06/2022 3:59;0.339;0.219
05/06/2022 3:59;0.416;0.574
05/06/2022 3:59;0.822;0.664
05/06/2022 4:00;0.961;0.612
05/06/2022 4:02;0.961;0.612
05/06/2022 4:05;0.589;0.562
05/06/2022 4:08;0.546;0.374
05/06/2022 4:15;0.322;0.483
05/06/2022 4:18;0.886;0.816
05/06/2022 4:21;0.957;0.744
05/06/2022 4:26;0.812;0.708
05/06/2022 4:27;0.929;0.745
05/06/2022 4:31;0.888;0.636
05/06/2022 4:35;0.888;0.636
05/06/2022 4:37;0.888;0.636
05/06/2022 4:39;0.37;0.472
05/06/2022 4:40;0.947;0.884
05/06/2022 4:41;0.444;0.328
05/06/2022 4:42;0.947;0.884
05/06/2022 4:42;0.907;0.775
05/06/2022 4:43;0.291;0.581
05/06/2022 4:43;0.947;0.884
05/06/2022 4:43;0.409;0.616
05/06/2022 4:43;0.972;0.681
05/06/2022 4:44;0.541;0.727
05/06/2022 4:46;0.948;0.424
05/06/2022 4:47;0.548;0.794
05/06/2022 4:47;0.372;0.546
05/06/2022 4:48;0.291;0.581
05/06/2022 4:48;0.377;0.56
05/06/2022 4:49;0.63;0.749
05/06/2022 4:49;0.907;0.775
05/06/2022 4:57;0.888;0.636
05/06/2022 4:59;0.419;0.258
05/06/2022 15:16;0.888;0.636
05/06/2022 15:21;0.888;0.636
05/06/2022 15:24;0.563;0.804
05/06/2022 15:27;0.723;0.489
05/06/2022 15:27;0.82;0.608
05/06/2022 15:31;0.888;0.636
05/06/2022 15:32;0.82;0.608
05/06/2022 15:36;0.419;0.258
05/06/2022 15:37;0.166;0.312
05/06/2022 15:41;0.888;0.636
05/06/2022 15:45;0.82;0.608
05/06/2022 15:48;0.961;0.612
05/06/2022 15:51;0.793;0.722
05/06/2022 15:53;0.943;0.54
05/06/2022 15:58;0.656;0.504
05/06/2022 16:01;0.604;0.6
05/06/2022 16:03;0.784;0.635
05/06/2022 16:06;0.888;0.636
05/06/2022 16:09;0.784;0.635
05/06/2022 16:13;0.572;0.61
05/06/2022 16:16;0.423;0.368
05/06/2022 16:20;0.375;0.4
05/06/2022 16:22;0.745;0.76
05/06/2022 16:23;0.572;0.61
05/06/2022 16:23;0.943;0.54
05/06/2022 16:23;0.784;0.635
05/06/2022 16:23;0.723;0.489
05/06/2022 16:23;0.656;0.504
05/06/2022 16:23;0.423;0.368
05/06/2022 16:23;0.793;0.722
05/06/2022 16:23;0.375;0.4
05/06/2022 16:23;0.82;0.608
05/06/2022 16:23;0.604;0.6
05/06/2022 16:23;0.961;0.612
05/06/2022 16:26;0.723;0.489
05/06/2022 16:26;0.82;0.608
05/06/2022 16:26;0.563;0.804
05/06/2022 16:29;0.961;0.612
05/06/2022 16:33;0.793;0.722
05/06/2022 16:35;0.943;0.54
05/06/2022 16:39;0.656;0.504
05/06/2022 16:42;0.604;0.6
05/06/2022 16:44;0.572;0.61
05/06/2022 16:44;0.822;0.419
05/06/2022 16:44;0.967;0.746
05/06/2022 16:44;0.784;0.635
05/06/2022 16:44;0.745;0.76
05/06/2022 16:44;0.408;0.633
05/06/2022 16:44;0.423;0.368
05/06/2022 16:44;0.375;0.4
05/06/2022 16:44;0.959;0.691
05/06/2022 16:45;0.277;0.765
05/06/2022 19:26;0.888;0.636
05/06/2022 19:31;0.419;0.258
05/06/2022 19:32;0.166;0.312
05/06/2022 19:34;0.303;0.526
05/06/2022 19:38;0.405;0.421
05/06/2022 19:38;0.426;0.38
05/06/2022 19:40;0.467;0.283
05/06/2022 19:40;0.367;0.464
05/06/2022 19:40;0.64;0.492
05/06/2022 19:40;0.487;0.467
05/06/2022 19:45;0.594;0.469
05/06/2022 19:45;0.579;0.5
05/06/2022 19:45;0.416;0.491
05/06/2022 19:46;0.515;0.445
05/06/2022 19:46;0.478;0.57
05/06/2022 19:46;0.85;0.565
05/06/2022 19:46;0.132;0.624
05/06/2022 19:50;0.138;0.192
05/06/2022 19:50;0.138;0.192
05/06/2022 19:50;0.686;0.654
05/06/2022 19:50;0.797;0.51
05/06/2022 19:50;0.502;0.545
05/06/2022 19:50;0.454;0.364
05/06/2022 19:50;0.454;0.364
05/06/2022 19:50;0.853;0.291
05/06/2022 19:51;0.138;0.192
05/06/2022 19:51;0.138;0.192
05/06/2022 19:51;0.51;0.309
05/06/2022 19:51;0.454;0.364
05/06/2022 19:54;0.51;0.309
05/06/2022 19:59;0.468;0.253
05/06/2022 20:00;0.205;0.485
05/06/2022 20:05;0.476;0.745
05/06/2022 21:55;0.828;0.837
05/06/2022 21:59;0.718;0.53
05/06/2022 22:00;0.974;0.618
05/06/2022 22:00;0.201;0.456
05/06/2022 22:01;0.976;0.633
05/06/2022 22:02;0.469;0.693
05/06/2022 22:03;0.804;0.545
05/06/2022 22:04;0.968;0.586
